"loss","mae","mean_q","mean_eps","episode_reward","nb_episode_steps","nb_steps","episode","duration"
"NaN","NaN","NaN","NaN","1.0","203","203","0","1.1439995"
"NaN","NaN","NaN","NaN","0.0","126","329","1","0.7076699999999998"
"NaN","NaN","NaN","NaN","4.0","313","642","2","1.7538445999999999"
"NaN","NaN","NaN","NaN","0.0","149","791","3","0.8335703000000008"
"NaN","NaN","NaN","NaN","0.0","130","921","4","0.7306914999999998"
"NaN","NaN","NaN","NaN","2.0","209","1130","5","1.1609242000000002"
"NaN","NaN","NaN","NaN","0.0","141","1271","6","0.7833024999999996"
"NaN","NaN","NaN","NaN","2.0","216","1487","7","1.203218399999999"
"NaN","NaN","NaN","NaN","0.0","131","1618","8","0.7333303999999998"
"NaN","NaN","NaN","NaN","0.0","143","1761","9","0.8011138000000013"
"NaN","NaN","NaN","NaN","1.0","163","1924","10","0.9089843000000002"
"NaN","NaN","NaN","NaN","2.0","209","2133","11","1.1671389999999988"
"NaN","NaN","NaN","NaN","1.0","167","2300","12","0.9319404000000002"
"NaN","NaN","NaN","NaN","2.0","214","2514","13","1.1931846000000004"
"NaN","NaN","NaN","NaN","0.0","164","2678","14","0.9147382999999998"
"NaN","NaN","NaN","NaN","0.0","134","2812","15","0.7842656000000012"
"NaN","NaN","NaN","NaN","0.0","128","2940","16","0.7445245999999983"
"NaN","NaN","NaN","NaN","2.0","201","3141","17","1.1612892000000024"
"NaN","NaN","NaN","NaN","0.0","156","3297","18","0.8905189999999976"
"NaN","NaN","NaN","NaN","0.0","134","3431","19","0.763860300000001"
"NaN","NaN","NaN","NaN","0.0","130","3561","20","0.7396741999999996"
"NaN","NaN","NaN","NaN","1.0","189","3750","21","1.0806537000000027"
"NaN","NaN","NaN","NaN","2.0","230","3980","22","1.3108518999999994"
"NaN","NaN","NaN","NaN","3.0","219","4199","23","1.2252845999999984"
"NaN","NaN","NaN","NaN","0.0","130","4329","24","0.7212570000000014"
"NaN","NaN","NaN","NaN","0.0","131","4460","25","0.7253501"
"NaN","NaN","NaN","NaN","3.0","254","4714","26","1.4095617000000011"
"NaN","NaN","NaN","NaN","3.0","285","4999","27","1.5701153000000012"
"NaN","NaN","NaN","NaN","0.0","154","5153","28","0.8568384999999985"
"NaN","NaN","NaN","NaN","2.0","185","5338","29","1.0206559000000013"
"NaN","NaN","NaN","NaN","1.0","183","5521","30","1.0133548000000019"
"NaN","NaN","NaN","NaN","0.0","137","5658","31","0.7732175000000012"
"NaN","NaN","NaN","NaN","0.0","133","5791","32","0.7461505000000059"
"NaN","NaN","NaN","NaN","1.0","184","5975","33","1.0289807999999994"
"NaN","NaN","NaN","NaN","0.0","140","6115","34","0.7895712000000046"
"NaN","NaN","NaN","NaN","3.0","251","6366","35","1.4511323999999988"
"NaN","NaN","NaN","NaN","0.0","134","6500","36","0.7560599000000039"
"NaN","NaN","NaN","NaN","0.0","147","6647","37","0.831513600000001"
"NaN","NaN","NaN","NaN","1.0","183","6830","38","1.074746300000001"
"NaN","NaN","NaN","NaN","2.0","215","7045","39","1.3053330000000045"
"NaN","NaN","NaN","NaN","2.0","214","7259","40","1.2289718999999977"
"NaN","NaN","NaN","NaN","1.0","164","7423","41","0.9185011000000003"
"NaN","NaN","NaN","NaN","1.0","169","7592","42","0.9435919000000013"
"NaN","NaN","NaN","NaN","1.0","160","7752","43","0.8914633999999992"
"NaN","NaN","NaN","NaN","0.0","142","7894","44","0.8020374000000032"
"NaN","NaN","NaN","NaN","4.0","277","8171","45","1.5357714000000016"
"NaN","NaN","NaN","NaN","0.0","145","8316","46","0.8175358999999958"
"NaN","NaN","NaN","NaN","4.0","300","8616","47","1.685292699999998"
"NaN","NaN","NaN","NaN","0.0","142","8758","48","0.7958025999999947"
"NaN","NaN","NaN","NaN","2.0","195","8953","49","1.0846923000000004"
"NaN","NaN","NaN","NaN","0.0","142","9095","50","0.7975611000000029"
"NaN","NaN","NaN","NaN","0.0","140","9235","51","0.7850184999999996"
"NaN","NaN","NaN","NaN","0.0","135","9370","52","0.7601919000000024"
"NaN","NaN","NaN","NaN","1.0","153","9523","53","0.8605495000000047"
"NaN","NaN","NaN","NaN","0.0","149","9672","54","0.8330571999999989"
"NaN","NaN","NaN","NaN","3.0","233","9905","55","1.3043169999999975"
"NaN","NaN","NaN","NaN","0.0","136","10041","56","0.7938486999999981"
"NaN","NaN","NaN","NaN","1.0","154","10195","57","0.8666079999999994"
"NaN","NaN","NaN","NaN","2.0","200","10395","58","1.1403897"
"NaN","NaN","NaN","NaN","0.0","138","10533","59","0.7748995999999977"
"NaN","NaN","NaN","NaN","1.0","178","10711","60","0.9973718999999974"
"NaN","NaN","NaN","NaN","1.0","163","10874","61","0.9075057000000015"
"NaN","NaN","NaN","NaN","1.0","167","11041","62","0.924160900000004"
"NaN","NaN","NaN","NaN","0.0","129","11170","63","0.7183598000000018"
